response_id	general_frequency	recurring_story	recurring_cause	recurring_frequency	recurring_serious	recurring_outcome	serious_story	serious_cause	serious_serious	serious_outcome	field	years
R_24OvWIXid68ghSc	Moderate	In qualitative analysis, forgetting which codes are used for what, and reinventing or duplicating similar or identical codes.	Inadequate experience, and inadequate pre-preparation of coding scheme.	Moderate	Minor	time loss	In qualitative work, recorded over old interviews with new interviews (using micro-cassette dictaphone).	Carelessness, lack of labelling cassettes.	Moderate	data loss	social psychology	3
R_28GI4y8PGiLchXU	Low	"Having PhD students ""code"" a dataset and then leave without proper instructions on how variables were calculated, what certain variable names mean and what filters (e.g., only completes) they used for their final analyses"	Sloppiness	Moderate	Moderate	frustration	"Conjoint analysis where the ""cards"" were wrongly drafted, didn't correspond to the orthoplan"	Sloppiness	Major	financial loss	other	13
R_QaFTHFdsxfpvsFb	Moderate	Most mistakes I can think of had to do with data analysis or reporting of results. For example, during the data analysis, I might have used a filter and then forgotten to remove it. Or another researcher might have made mistakes in their R code, specifying a wrong subset or a wrong variable. With regards to reporting, I think it happens quite often that people copy-paste text to save time and then forget to change some values. Or that they make rounding and other errors when re-typing values.	I think that such mistakes are expected to happen. So, I like the idea of having some automated way to check for them, e.g., via statcheck. I do think though that there are some factors that contribute to inattentiveness. One is a pressure to work fast and deliver results in a short time frame. I have seen people send reports of results at 2am - I bet they were under stress, tired, and not well-focused when running those analyses (and indeed that is one case where there was a major mistake in the visual representation of data).	Moderate	Minor	time loss	I already gave an example of problems with data analysis. So, I'll describe another big problem I personally had during data collection. Last year I planned a diary study, which included two follow-ups one week and two weeks after the end of the diary. I used the services of a company that allows you to send surveys to participants' mobile phones and to schedule the surveys so that they are sent automatically. The last part of my data collection happened in August. There was an error in their system and my last follow-ups were not sent. I noticed relatively fast but it took them days to figure out what was wrong and still the problem was not resolved. This was a source of big frustration and also caused money and data loss.	To my understanding, there was an error in their system which made it so that all schedules were moved by one day. So, when participants should have received the last daily survey, it appeared as if they were already finished with the study (and  received nothing). Again, though, I think this is a problem that could have been solved if someone paid attention. So, there was the additional issue that it was during summer holidays and there was no one that could respond fast to solve the problem.	Moderate	frustration	social psychology	4
R_12ovEFWl7OzSTn7	Very Low	NA	NA	NA	NA	NA	NA	NA	NA	NA	experimental and cognitive psychology	12
R_2WCr8uf7CKPkEXG	Low	mistakes in writing software code for Mplus	Mplus code is VERY fiddly	High	Moderate	? I need to choose 2 options: Time loss and frustration	Mistakes in Mplus coding	Mplus is very fiddly	Moderate	? I need to choose 2 options: Time loss and frustration	developmental and educational psychology	15
R_vGhe9SFx67Tm8md	Low	My PhD student siad she performed X test that she cannot do, I figured out that she has performed another easier stat test that she could do. The results and p values or F values did not change, and luckily the paper she wrote was rejected at the first journal that I could go over the stats and found out the mistake. I was not sure if she did it because it was easies, or mistakingly. Now I go over everything she does with a double or triple check, and am rather unreluctant to write with her.	She probably performed easier statitistics and did not bother to learn a new way of doing stats.	Very Low	Minor	The data collection and analyses were always double-checked, so I did not have to recollect data, however I rerun the data	That was the event about I wrote above.	Being too lazy to learn new way of statistics	Moderate	frustration	neurophysiology and physiological psychology	15
R_1q8MrESM6Soe0YW	Low	missing documentation in the labeling/handling/recoding of variables	lack of documentation	Moderate	Minor	frustration	lack of documentation, data loss (mostly technical failures), using different versions of statistical software with (apparently) different algorithms	different collaborators/coworkers working on the same data set without sufficient documentation	Minor	frustration	neurophysiology and physiological psychology	20
R_1gwrKmk8l9dBdpR	Low	Uninformative labels which prevented using old datasets, Reverse scoring items more than one times and difficult to find out the original data	attempts to save time in the short run	Low	Minor	time loss	improper reverse of negatively worded items	being in a hurry	Minor	time loss	personality psychology	25
R_roMs84O8u4uODHb	Low	Uninformative variable names	Not thinking ahead of future (re)uses	Low	Minor	time loss	"Fault in experimental software that caused absent responses to be conflated with responses where a participant selected ""not applicable"""	Programming error by software developer.	Minor	frustration	experimental and cognitive psychology	7
R_1163fpcUwH7iUdJ	Very High	sloppy file naming which made very hard to identify the subjects later	People most likely thought they will remember (or did not even consider that there could multiple subjects with the same first name (nickname)	Very High	Moderate	time loss	no serious mistakes (the reason is, I'm actually the one in my institude who is responsible for cleaning all datasets, and my approval is necessary before any manuscript based on a given dataset is submitted for publication). However, mixing up subjects and biased matching of different data of the same subject is an everyday matter	Most people in my group don't take this part of data recording seriously. While they are very careful when preparing for an upcoming experiment, they are much less mindful with naming and storing the data they just recorded...	Moderate	time loss	other	13
R_1eru08S1SGWl5sm	Very Low	reversed the coding of a scale	when the coding is allready done on the online questionnaire it is confusing because we might forget that the reverse coding was automatically done and we do the reverse coding again when we work on the data base	Very Low	Minor	time loss	data was not stored and the computer which had the data crashed so we lossed the data	computer crash	Major	time loss	applied psychology	10
R_2pXHxkLf2ltxzDW	Moderate	The wrong scoring key was shown to participants for one questionnaire, so although the data are internally consistent, it makes comparison with previous studies difficult.	Data entry error, followed by incomplete checking.	Very Low	Moderate	time loss	As above	As above	Moderate	time loss	developmental and educational psychology	12
R_240gExq9GupfN2a	Low	Hard to say one mistake, but I think if I have to give a general one, it's a coding issue. Some code mistake somewhere (which leads to a miscalculated F, or an interpretation problem of a scale).	Research is really hard, a lot of work, and it's normal that a % of mistakes enter in. Hard to identify, but general strategies can help minimize mistakes.	Low	Moderate	time loss	Mistake in coding - part of the above. It was the example of the questionnaire (but we caught it in code review).	Same as above - research is hard, and mistakes simply happen.	Major	time loss	social psychology	10
